_id,State,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Available ICU Beds,Adult Population,Positive,Negative,Total Test Results,Date Modified,Hospitalized Infections,Hospitalized Infections vs Hospital Beds,Hospitalized Infections vs ICU Beds,Hospitalized Infections vs Adult Population
5ea903a5fd1f12e726037bd6,RI,2117,279,644,77,845556,408,3187,3595,2020-03-30 04:00:00,28.560000000000002,4.43%,37.09%,0.00%
5ea903a5fd1f12e726037bd7,SC,11457,1459,4066,469,3802489,925,4160,5085,2020-03-30 20:00:00,64.75,1.59%,13.81%,0.00%
5ea903a5fd1f12e726037bd8,SD,4247,150,1663,75,644483,101,3478,3579,2020-03-30 16:30:00,7.07,0.43%,9.43%,0.00%
5ea903a5fd1f12e726037bd9,TN,18401,2309,6723,603,5099734,1834,21470,23304,2020-03-30 19:00:00,128.38000000000002,1.91%,21.29%,0.00%
5ea903a5fd1f12e726037bda,TX,55588,7149,21803,2573,20206495,2877,33003,35880,2020-03-30 16:45:00,201.39000000000001,0.92%,7.83%,0.00%
5ea903a5fd1f12e726037bdb,UT,4869,687,2116,328,2082530,806,15197,16003,2020-03-30 19:00:00,56.42000000000001,2.67%,17.20%,0.00%
5ea903a5fd1f12e726037bdc,VA,17469,2007,5373,698,6499678,1020,11018,12038,2020-03-30 04:00:00,71.4,1.33%,10.23%,0.00%
5ea903a5fd1f12e726037bdd,VT,1305,94,475,52,504856,256,3674,3930,2020-03-30 17:00:00,17.92,3.77%,34.46%,0.00%
5ea903a5fd1f12e726037bde,WA,11808,1493,4123,525,5554591,4896,60566,65462,2020-03-30 04:00:00,342.72,8.31%,65.28%,0.01%
5ea903a5fd1f12e726037bdf,WI,11669,1506,4850,676,4469267,1221,15856,17077,2020-03-30 20:00:00,85.47000000000001,1.76%,12.64%,0.00%
5ea903a5fd1f12e726037be0,WV,6224,643,2466,223,1459974,145,3682,3827,2020-03-30 18:10:00,10.15,0.41%,4.55%,0.00%
5ea903a5fd1f12e726037be1,WY,1951,102,931,65,444842,95,1840,1935,2020-03-31 00:00:00,6.65,0.71%,10.23%,0.00%
